NODE_ID,ARS_ID,정류소명,X좌표,Y좌표
100900051,01558,창덕궁,126.99062,37.57608925
100900175,01559,세종문화회관,126.976444,37.57265888
100900193,01560,혜화역3번출구,127.0019214,37.58121591
100900050,01561,아름다운실버,126.9654637,37.61201006
100900049,01562,독립문초등학교,126.9607207,37.57384748
100900206,01563,종로센트레빌아파트,127.0156927,37.58035344
100900048,01564,가회동주민센터,126.9848497,37.57993901
100900097,01565,구기빌라,126.9579797,37.60626861
100900096,01566,원남로터리,126.9975115,37.57623737
100900095,01567,보현산신각,126.9657791,37.61348252
100900094,01568,천사유치원,126.9618604,37.57464802
100900093,01569,쌍용아파트입구.창신역,127.0149636,37.58051123
100900092,01570,아름다운가게.정독도서관,126.985022,37.57889917
100900091,01571,산정빌라,126.9574922,37.60515199
100900090,01572,이화사거리,127.0020107,37.57646986
100900089,01573,박종화고택입구,126.9676873,37.61431026
100900088,01574,무악현대아파트후문,126.962001,37.57630608
100900087,01575,이수아파트,127.0151896,37.57835399
100900086,01576,헌법재판소.안국역,126.9856756,37.57755843
100900184,01577,청구빌라,126.956984,37.60461026
100900085,01578,서울대어린이병원응급실.갑상선센터,126.999503,37.57811888
100900084,01579,서울사대초.중교,127.0024795,37.57756738
100900083,01580,화인빌라,126.9685386,37.61293453
100900082,01581,넓은마당,126.962888,37.57527281
100900207,01582,창신초등학교,127.0153886,37.5769032
100900081,01583,수운회관,126.9865172,37.57515983
100900080,01584,상명대후문,126.9573354,37.60402558
100900194,01585,혜화역2번출구,127.0022566,37.58114832
100900079,01586,힐탑,126.9690206,37.61160556
100900187,01587,신학대학교총회본부,126.9634446,37.57397631
100900208,01588,구민회관.동묘역,127.0155759,37.57404762
100900078,01589,낙원상가,126.9872919,37.57367762
100900077,01590,완성빌라,126.9575011,37.60340209
100900076,01591,서울대병원장례식장,126.997431,37.5805554
100900075,01592,혜화역1번출구,127.0019407,37.58345422
100900074,01593,감나무골공원,126.9699479,37.61240596
100900073,01594,한국사회과학자료원,126.9641433,37.57363321
100900205,01595,동묘역,127.0142454,37.57269435
100900121,01596,금강제화,126.9874384,37.57054454
100900120,01597,경진빌라,126.9578304,37.60200372
100900198,01598,성균관대학교앞,126.9993359,37.58325978
100900176,01599,KT광화문지사,126.9773972,37.57192021
100900196,01600,혜화로터리,127.0006454,37.58546186
100000416,01601,청와대,126.9737776,37.58274671
100000417,01602,춘추문,126.9797313,37.58291075
100000418,01603,경복궁.국립민속박물관,126.9795002,37.57953195
100000420,01604,효자로입구(가상),126.9744334,37.57626474
100900119,01607,EN갤러리,126.9707008,37.61340635
100900001,01611,창경궁,126.9965264,37.57879284
100000361,01622,광화문,126.9754261,37.56993441
100000240,01647,이북오도청,126.9560835,37.61246199
100000241,01648,독립문역,126.9567051,37.57564285
100900118,01667,종로문화센터,126.9646262,37.57464708
100900117,01682,동대문역.2번출구,127.0117218,37.57204945
100900116,01683,종각역YMCA,126.9850715,37.57033935
100900115,01684,서교빌라,126.9571554,37.60198906
100900177,01685,경복궁역,126.9724733,37.57707221
100900195,01686,연건동,127.000745,37.57612566
100900199,01697,성대입구,126.998853,37.5832668
100900114,01698,무애사,126.9718458,37.61390043
100900113,01699,단군성전앞,126.9653175,37.57556009
100900192,01702,동대문종합시장,127.00614,37.57117606
100900112,01714,상명초등학교,126.9567154,37.60092381
100900179,01720,법련사,126.9796651,37.57658798
100900111,01721,광화문새마을금고,126.9710277,37.57949309
100900110,01722,성균관대학교,126.9972179,37.58503111
100900109,01723,참샘골공원,126.9741212,37.61457226
100900108,01724,활터앞,126.9653294,37.57681261
100900107,01725,종로5가.3번출구,127.0020898,37.57141925
100900106,01727,인사동들머리.3.1독립선언터,126.983297,37.57194702
100900105,01728,정독도서관,126.9802007,37.58019153
100900104,01729,오거리.한옥마을입구,126.9697393,37.57946844
100900190,01730,종로4가.혜화경찰서,126.9974822,37.57263391
100900103,01732,평창공원지킴터입구,126.9757439,37.6163964
100000360,01733,창경궁.고궁호텔.메이플레이스호텔,126.9974492,37.57655816
100000359,01734,창경궁,126.9964709,37.57907668
100000328,01761,경희궁,126.9723537,37.5699058
100000329,01762,광화문,126.9738332,37.57032604
100000330,01763,종로1가,126.980129,37.57037
100000331,01764,종로1가,126.9808261,37.56995433
100000332,01765,종로2가,126.9850973,37.57035413
100000333,01766,종로2가,126.9855751,37.56996853
100000334,01767,종로3가,126.9931553,37.57058964
100000335,01768,종로3가,126.9909932,37.57010243
100000336,01769,종로4가,126.99688,37.57042081
100000337,01770,동대문종합시장종로6가,127.0050242,37.57121641
100000338,01771,동대문종합시장종로6가,127.0032061,37.57079206
100000339,01772,동대문역,127.0145771,37.57285921
100000340,01773,동대문역,127.0150378,37.57266691
100000341,01774,신설동전철역,127.0203865,37.57461998
100000342,01775,신설동전철역,127.0211178,37.57449821
100900102,01776,종로도서관,126.9671252,37.57648423
100000343,01777,경복궁역,126.9715056,37.57617809
100000344,01778,경복궁역,126.9713156,37.57575544
100000345,01779,안국역,126.9852296,37.57661375
100000346,01780,안국역,126.985506,37.57631851
100000347,01781,창덕궁,126.9887919,37.5775279
100000348,01782,성대입구,126.9997033,37.58358759
100000352,01786,효자로,126.9739005,37.58163295
100000356,01789,창덕궁,126.9903719,37.57756161
100900101,01790,종로사우나,126.9877504,37.57380111
100900180,01791,엄마분식,126.9557163,37.60124243
100900100,01792,삼청파출소,126.9813258,37.58164517
